Media Title,Sarah reviewed,Ania to review?,Ania reviewed,Excerpt Copy,About,Insights,Roadblocks,Resources,Codes Applied Combined
AGSAA.txt,,,,"so now that we're in the clinical trial, that's still ongoing, or is it completed?

Speaker 2  30:16  
So there was JAGA 1 , um, and then bags. So there were, there have been two iterations of the clinical trial at, you know, at CHOP, basically, first started at Washington, Children's National in Washington, DC. And then when Dr. Vanderver moved in 2016 to CHOP, then the trial moved with her, and then it was like, temporarily, like not enrolling while they were getting set up, like, um, getting really stuck. And then, which is why my daughter couldn't get access to it immediately. And so then it started re-enrolling children at CHOP in like, 2016, 2017. And then I think the BAGS (sp?) , I think they cut BAGS (sp?) or JAGA, too, then that trial started enrolling, maybe 2018 or 2019. Patrick, do you know?

Speaker 1  30:41  
Yeah, I just put the link in. So what Devon just [audio cuts out] described about interferon when the neurologist went to Philadelphia. And they started enrolling a lot more AGS patients all still under the original compassionate use trial. 

Speaker 2  32:05  
Yes.

Speaker 1  32:05  
But that one—

Speaker 2  32:06  
And that was JAGA 1.

Speaker 1  32:06  
Yes, and then now, we still, it's still active, but they're not recruiting. It was first posted April 19, 2019, for supporting the trial and paying for the medicine for a number of kids, it is still active, but they're not recruiting. And, you know, we, it just seems like it's very much sort of faltered.",,,,,Step: Clinical Trial
AGSAA.txt,,,,"Just generally speaking, we are, you know, as, as all these diseases trying to make this happen, we are, the power relationship is like we have no power, right. One of the things that I would like to see in your roadmap, is ways that we can invert that relationship a little bit and inject ourselves, like there's, there's a number of things that I, we don't have the resources at the time right now to really like look into, but I do think that the future will see us, we'll probably see the AGSAA running a platform trial. And I think that that puts us more in the position to like invite people to come in with, you know, a particular drug or agent. It kind of gives us the power where otherwise, you know, they're doing everything, like we're getting scraps of information, whatever they're willing to provide, I think we need to flip that over.

Speaker 2  1:01:38  
It's also just a problem that's like hugely demoralizing for families, like in positions like we are, because it's not just with the doctors. It's not just with the researchers, it's not just with industries, it's with insurance companies, it's with school systems, it's with, like, you know, anything, like we're just completely, like, it just, it's just very frustrating. Like, you know, you have to battle against this disease with your child, and then to have to then battle everybody else all the time. It's exhausting. So it's important.",,,,,"Issues: pharmaceutical company support/cooperation,GENERAL: power structures"
AGSAA.txt,,,,"And so drug repurposing is very relevant to us because there are a lot of drugs being developed for autoimmune diseases, right. So as it happens, a rheumatologist at NIH in, sorry, is she NIH? Yeah, she's NIH, the translational autoimmune, what's the .... disorders, something... She, she started a trial with children with interferonopathy, so a classic disease driven by dysfunction of interfereons, inflammatory cytokines. And it, it turned out one of the kids was diagnosed with AGS, I think after the trial had already started. So a lot of the, a lot of the wheels were already turning. However, the organization I think, was founded about 10 years ago, when there was a need to gather some funding for a neurologist that was at the NIH, who was moving to Philadelphia to, to basically like fork the trial and then create one specifically for AGS. So the organization was very involved in the beginning, but, but in primarily a funding way, ",,,,,"Org Support: Funding Research,Org Support: Collaboration with Academics,STEP Drug ID: similar diseases"
AGSAA.txt,,,,"Patrick and I were working with a family from Arizona that's been denied like six times for receiving it and the, there's for no reason other than like, bizarre like reticence and you know, because his local doctor, like, you know, was not equipped to create the right appeal for it. Like just really frustrating reasons and then you know, we try to work with a sense of urgency because it truly is a, you know, this, this drug can truly, truly impact the course of these kids' or these babies' lives. You know, it's, it's really important. So we're kind of like, well, what can we do to make this to raise our profile, and, you know, make it all happen for the families that need this drug? And so it's kind of like, I also put in the chat, like the page that Patrick had put together. But I don't know if you can still see it if you dropped from the call, but we can also send you these emails.",,,,,GENERAL: Insurance coverage
AGSAA.txt,,,,"So before we get anywhere near the clinic, there's a geneticist in the UK that's been studying AGS for like two decades or something like that. So a basic understanding of the mechanics of the disease led to, they published a paper I want to say in like 2005, or something like that, but they talked about a bunch of potential agents, and I can actually find the paper for you if you want, but by, the bench research, um, basically teased out the pathway. And they listed a bunch of potential agents or potential pathways to target and they mentioned by name JAK inhibitors. And so the JAK-STAT pathway is implicated, you know, in the, driving the inflammatory response. And so, they actually did some, like single patient type things with another JAK inhibitor, Ruxolitinib. And so he's a clinical geneticist. So, you know, some, some combination of this, like basic research and extremely small sample, you know, single patient studies, I think they did like two of them showed that it worked on AGS. So it's not, it's not so connected to AGS when you get to Baricitinib, though because, maybe this rough understanding of this, this pathway led the doctor at the NIH to start doing some like really basic stuff with Baricitinib. But I don't think that she necessarily targeted AGS, it was a related diseases CANDLE and Sati, and one of the patients was undiagnosed. And it turned out he had AGS. Right. So it's almost like we stumbled into it for AGS.

Speaker 1  24:48  
They were looking at the skin component as well, like that was like, it was heavily influenced by trying to resolve skin manifestations of the interferonopathy. And I think that because of the rheumatoid arthritis like, component, there was a link there.

Ania K  26:10  
Gotcha. And do you know approximately what year the NIH, Doctor, sorry, I forgot her, you mentioned her name, but I forgot, she when, she started doing this, this work? Just to get a kind of a sense of time of how long everything took.

Speaker 2  26:27  
It had been underway, I think, like three years when, before we went on the trial. Does that sound right to you, Patrick? Like Rafa went on in 2017. And I think it was two to three years prior to that, but we could find that out.

Speaker 1  26:42  
I think it's, it's earlier. Yeah, I have a—

Speaker 2  26:51  
Children's National, I think started enrolling kids in 2015 and 2016, with AGS. But, but that would be after the NIH.",,,,,"GENERAL: Date of project initiation,STEP Drug ID: similar diseases"
AGSAA.txt,,,,"But I think we solve it by, Devon alluded to the, the academic literature is out of date, with respect to a lot of things about AGS. Especially when it comes to like the heterogeneous presentation and different phenotypes that's not really well characterized. So we're trying to tackle that with our patient registry. Safety information, we can kind of come at that from a different angle, also from the patient registry, like kind of demonstrating like, kind of like natural history. From a parent perspective, we have a clinical natural history, now we have a parent perspective, natural history, and when we put it all together, we should be able to demonstrate that a lot of these events that the FDA might be concerned about are happening regardless of treatment, and to help tease it away from trial. And I'm sure I have other things that I'm not thinking of right now. But I know we have many steps before we're going to be able to repurpose and be successful. ",,,,,Org Support: developing/supporting natural history study and/or registry
AGSAA.txt,,,,"ometime between, sometime between December 2019 And February 2020, they were submitting information, but what happened, I was supposed to be involved in that and I was involved like peripherally in the beginning but then we were told by Lilly that the FDA could not take any of our information or testimony or letters or you know, support from the AGSAA or from our families, because they said it was a conflict of interest that we would be advocating for a specific drug. And it was super frustrating and, and then Lilly basically like shut like closed the shutters, closed the doors, like just stopped talking to us, I tried so many different ways to like, reach out to them. And then essentially, we thought that they were going to apply just on behalf of Baricitinib for, they meaning Lilly, apply for Baricitinib for children with AGS, but they ended up doing like I forget what it was called, but it was like a batch application where they tried to push through like eight different disease designations that were, that had, were in various stages of having proof points for efficacy, safety, completely different diseases. completely, like different designations, completely different, like timelines in terms of like how far along they are with, within, within their trials, and within their research and preclinical like data, and like, all those things. And so then basically, everything got denied. And then Lilly was like, Yeah, we're not going to do it again. So this is my understanding of all of this. And then I was not able to talk to doctor our two main doctors at CHOP, um, Dr. Laura Adang and Dr. Adeline Vanderver about it any longer, because they had to sign an NDA with Lilly that said that they like could not talk about what had happened at the FDA, or something super annoying and like weird like that. And so, and then the pandemic happened, like, like, a few weeks later. So I think the date may have been like, February 12, that's standing out in my head, but like, you know, so and then Lilly pivoted, um, you know, to, to COVID related stuff. And, and then so basically, we've been in this extremely frustrating limbo. And, and then, you know, now insurance companies use it as an excuse for not providing it because it is, even though we have all of this data showing safety and efficacy.",,,,,"Org Support: Conversations with FDA,Outcome: FDA approval [denied],Issue: FDA considers RDNP involvement as conflict of interest"
AGSAA.txt,,,,"And then everyone that I had previously had a relationship with, any kind of relationship that Lilly like, has left, like, you know, so and, and then we were like looking at options now. Um, you know, tips for how to go back and start this, I know, you had mentioned that there are other, that there are other options, because our understanding is that this is not something that Lilly feels is going to make them money and, and you know, that there's no value in this for them to pursue. So it's basically dead in the water and in terms of their involvement to push it forward. And then CHOP is limited in what they can do, which we can never seem to get full clarity about, but limited in what they can do in terms of like them pushing forth their trial data, like they feel like they can't do it without a sponsor. So we as an advocacy organization, like feel, obviously our community would benefit from FDA approval, just so that we don't hit so many roadblocks that we can tell you about. You know, when you're ready, but",,,,,Issues: pharmaceutical company support/cooperation
AGSAA.txt,,,,"And part of what we have been doing this year is trying to build our organization, both in volunteers, the amount of like content and awarenes we put out, some tools and infrastructure for scientific research. That's why we have patient registry, both for recruitment, but also for solving a real heavy problem that we have, which are clinical outcomes. Yes, children are very disabled. So it's really difficult to have trial outcomes that show a response. So we have sort of these like foundational problems, we actually have another opportunity with my daughter's doctor here for, it's not FDA approved, but it is kind of repurposing mesenchymal stromal cells. And just to give a sense, as it relates to repurposing, we know that if we launch a trial right now, the trial's gonna fail, or at least I have that sense. So we're trying to kind of understand, you know, what is the FDA going to want? What kind of patient reported outcome measures could be really compelling? And long story short, we have an industry partner that's not repurposing but actually developing a drug from scratch and is going to enter the clinical phase like in the next year or two. So we sort of think we're going to piggyback on that a little bit to sort of build our capacity and understanding so that we can then, you know, try and repurpose multiple things and have sort of a pipeline and a reasonable way to hold the trial. ",,,,,"Org Support: developing/supporting natural history study and/or registry,Org Support: Creating infrastructure/setting up project for success"
AGSAA.txt,,,,"And that drug is also possibly being slightly repurposed from two other neurodevelopmental disorders that they're working on. Like, there's definitely ties to that. So we've been keeping an eye on those disorders to kind of see how they are moving along in the process as well.",,,,,STEP Drug ID: similar diseases
